Yr,Mon,Dy,Pior_2_High,Prior_1_High,TempHighF,Hist_Avg_High,Estimate
2016,6,2,82,87,84,88,78
2016,6,3,87,84,85,88,82
2016,6,4,84,85,86,88,89
2016,6,5,85,86,88,90,94
2016,6,6,86,88,90,91,95
2016,6,7,88,90,92,92,85
2016,6,8,90,92,92,92,100
2016,6,9,92,92,92,91,82
2016,6,10,92,92,91,92,85
2016,6,11,92,91,93,94,85
2016,6,12,91,93,94,93,99
2016,6,13,93,94,94,93,88
2016,6,14,94,94,94,89,79
2016,6,15,94,94,96,92,102
2016,6,16,94,96,96,90,84
2016,6,17,96,96,97,93,93
2016,6,18,96,97,96,93,87
2016,6,19,97,96,94,90,85
2016,6,20,96,94,95,90,85
2016,6,21,94,95,96,91,91
2016,6,22,95,96,96,92,97
2016,6,23,96,96,95,92,100
2016,6,24,96,95,93,93,92
2016,6,25,95,93,88,90,94
2016,6,26,93,88,95,92,98
2016,6,27,88,95,96,93,97
2016,6,28,95,96,101,95,86
2016,6,29,96,101,96,95,100
2016,6,30,101,96,94,95,97
2016,7,1,96,94,96,94,91
2016,7,2,94,96,98,95,103
2016,7,3,96,98,98,95,85
2016,7,4,98,98,99,95,103
2016,7,5,98,99,99,95,98
2016,7,6,99,99,100,95,95
2016,7,7,99,100,99,95,103
2016,7,8,100,99,100,96,99
2016,7,9,99,100,99,97,97
2016,7,10,100,99,97,96,106
2016,7,11,99,97,100,96,88
2016,7,12,97,100,100,97,93
2016,7,13,100,100,101,99,104
2016,7,14,100,101,101,100,93
2016,7,15,101,101,101,96,93
2016,7,16,101,101,100,97,97
2016,7,17,101,100,99,95,103
2016,7,18,100,99,99,92,89
2016,7,19,99,99,100,94,97
2016,7,20,99,100,101,97,98
2016,7,21,100,101,101,98,89
2016,7,22,101,101,102,98,97
2016,7,23,101,102,101,99,108
2016,7,24,102,101,101,98,101
2016,7,25,101,101,102,99,96
2016,7,26,101,102,93,96,97
2016,7,27,102,93,92,97,89
2016,7,28,93,92,97,99,90
2016,7,29,92,97,96,98,101
2016,7,30,97,96,97,98,88
2016,7,31,96,97,98,99,93
2016,8,1,97,98,99,96,105
2016,8,2,98,99,98,96,101
2016,8,3,99,98,99,97,98
2016,8,4,98,99,99,98,90
2016,8,5,99,99,100,99,102
2016,8,6,99,100,100,100,95
2016,8,7,100,100,100,101,99
2016,8,8,100,100,100,102,96
2016,8,9,100,100,102,102,104
2016,8,10,100,102,102,103,112
2016,8,11,102,102,102,103,95
2016,8,12,102,102,105,103,93
2016,8,13,102,105,96,99,100
2016,8,14,105,96,84,94,91
2016,8,15,96,84,76,92,92
2016,8,16,84,76,83,95,95
2016,8,17,76,83,84,94,92
2016,8,18,83,84,88,96,91
2016,8,19,84,88,93,96,97
2016,8,20,88,93,83,90,83
2016,8,21,93,83,82,92,83
2016,8,22,83,82,91,98,108
2016,8,23,82,91,94,99,99
2016,8,24,91,94,93,98,99
2016,8,25,94,93,94,99,102
2016,8,26,93,94,93,97,87
2016,8,27,94,93,92,96,98
2016,8,28,93,92,92,96,104
2016,8,29,92,92,91,94,99
2016,8,30,92,91,92,94,93
2016,8,31,91,92,94,97,89
2016,9,1,92,94,96,97,90
2016,9,2,94,96,92,95,100
2016,9,3,96,92,92,95,89
2016,9,4,92,92,93,97,106
2016,9,5,92,93,94,97,88
2016,9,6,93,94,95,97,94
2016,9,7,94,95,96,95,103
2016,9,8,95,96,95,97,90
2016,9,9,96,95,95,95,90
2016,9,10,95,95,93,96,98
2016,9,11,95,93,93,95,104
2016,9,12,93,93,93,93,92
2016,9,13,93,93,94,84,79
2016,9,14,93,94,92,86,82
2016,9,15,94,92,94,92,84
2016,9,16,92,94,95,94,94
2016,9,17,94,95,96,94,92
2016,9,18,95,96,98,95,88
2016,9,19,96,98,99,94,99
2016,9,20,98,99,99,95,103
2016,9,21,99,99,96,94,87
2016,9,22,99,96,94,94,92
2016,9,23,96,94,93,91,85
2016,9,24,94,93,97,92,101
2016,9,25,93,97,88,89,84
2016,9,26,97,88,73,84,84
2016,9,27,88,73,80,85,76
2016,9,28,73,80,89,89,93
2016,9,29,80,89,86,90,88
2016,9,30,89,86,83,89,88
2016,10,1,86,83,80,89,97
2016,10,2,83,80,85,89,89
2016,10,3,80,85,87,86,77
2016,10,4,85,87,91,86,85
2016,10,5,87,91,92,88,88
2016,10,6,91,92,92,90,83
2016,10,7,92,92,89,91,93
2016,10,8,92,89,86,89,87
2016,10,9,89,86,84,88,88
2016,10,10,86,84,84,89,80
2016,10,11,84,84,88,87,79
2016,10,12,84,88,91,89,89
2016,10,13,88,91,89,86,83
2016,10,14,91,89,87,88,96
2016,10,15,89,87,91,91,86
2016,10,16,87,91,94,90,89
2016,10,17,91,94,94,90,95
2016,10,18,94,94,93,88,82
2016,10,19,94,93,92,87,79
2016,10,20,93,92,83,84,83
2016,10,21,92,83,77,82,81
2016,10,22,83,77,80,82,74
2016,10,23,77,80,84,82,89
2016,10,24,80,84,86,82,92
2016,10,25,84,86,86,79,73
2016,10,26,86,86,87,84,77
2016,10,27,86,87,88,86,88
2016,10,28,87,88,86,84,87
2016,10,29,88,86,86,83,85
2016,10,30,86,86,87,81,81
2016,10,31,86,87,86,80,75
2016,11,1,87,86,91,78,81
2016,11,2,86,91,88,81,72
2016,11,3,91,88,80,79,73
2016,11,4,88,80,73,75,79
2016,11,5,80,73,72,72,74
2016,11,6,73,72,76,72,72
2016,11,7,72,76,71,68,74
2016,11,8,76,71,69,72,69
2016,11,9,71,69,65,71,79
2016,11,10,69,65,71,74,71
2016,11,11,65,71,74,75,81
2016,11,12,71,74,77,66,61
2016,11,13,74,77,76,61,53
2016,11,14,77,76,82,64,74
2016,11,15,76,82,86,68,61
2016,11,16,82,86,86,70,67
2016,11,17,86,86,82,70,64
2016,11,18,86,82,79,69,73
2016,11,19,82,79,63,70,77
2016,11,20,79,63,67,71,77
2016,11,21,63,67,77,72,68
2016,11,22,67,77,76,67,57
2016,11,23,77,76,73,72,79
2016,11,24,76,73,76,69,64
2016,11,25,73,76,66,69,75
2016,11,26,76,66,70,74,75
2016,11,27,66,70,76,71,74
2016,11,28,70,76,79,65,57
2016,11,29,76,79,79,66,68
2016,11,30,79,79,67,67,75
2016,12,1,79,67,69,65,75
2016,12,2,67,69,64,61,57
2016,12,3,69,64,52,58,48
2016,12,4,64,52,53,61,61
2016,12,5,52,53,52,64,74
2016,12,6,53,52,58,66,72
2016,12,7,52,58,56,60,55
2016,12,8,58,56,52,65,70
2016,12,9,56,52,46,64,57
2016,12,10,52,46,52,65,61
2016,12,11,46,52,67,71,79
2016,12,12,52,67,67,71,81
2016,12,13,67,67,77,75,66
2016,12,14,67,77,57,69,61
2016,12,15,77,57,54,68,77
2016,12,16,57,54,67,64,59
2016,12,17,54,67,76,66,76
2016,12,18,67,76,37,52,47
2016,12,19,76,37,45,56,59
2016,12,20,37,45,59,60,61
2016,12,21,45,59,71,68,64
2016,12,22,59,71,68,75,81
2016,12,23,71,68,68,69,71
2016,12,24,68,68,78,70,71
2016,12,25,68,78,80,72,78
2016,12,26,78,80,84,79,72
2016,12,27,80,84,76,72,75
2016,12,28,84,76,83,59,61
2016,12,29,76,83,70,62,55
2016,12,30,83,70,55,53,55
2016,12,31,70,55,77,57,52
